Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
ms_125,125,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_84,84,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_267,267,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.21207494520073836,0.0015639632827367915,0.0017096403072125632
ms_230,230,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18840479911858155,0.0007476439944464031,0.0017774614670405678
ms_38,38,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1787326810889645,0.0006955942763751479,0.0018855705288862222
ms_20,20,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.2018297787659201,0.0354398194733076,0.0018904018032690519
ms_2,2,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.10590307783154741,4.843623679833133e-07,0.0018019809317231877
ms_207,207,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.14180318779650558,0.0005302332090079449,0.0020454604496183467
ms_61,61,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_37,37,manuscript,0.0,1.0,1.0,0.002840909090909091,0.0,0.17462388382255153,0.00016324349347361907,0.00167794128685817
ms_111,111,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1782560606060606,0.00022092191658858466,0.001974174588567747
ms_123,123,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18840479911858155,0.0007476439944464031,0.0017774614670405678
ms_186,186,manuscript,1.0,1.0,2.0,0.008522727272727272,0.00019425019425019425,0.23553919213274396,0.009463594615471084,0.001841907447890155
ms_94,94,manuscript,1.0,1.0,2.0,0.005681818181818182,4.046879046879047e-06,0.24485722610722613,0.06676689555092788,0.001692205846017647
ms_10,10,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.21207494520073836,0.0015639632827367915,0.0017096403072125632
ms_86,86,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18599338544038044,0.0011418900130001762,0.0038320248603215565
ms_236,236,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_258,258,manuscript,1.0,1.0,2.0,0.005681818181818182,5.665630665630666e-05,0.18394612748286387,0.0005236034527336699,0.0019015420090422262
ms_266,266,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.15109860471806674,0.00019635843816904143,0.0027223948786936274
ms_289,289,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.10590307783154741,4.843623679833133e-07,0.0018019809317231877
ms_39,39,manuscript,0.0,0.0,0.0,0.0,0.0,0.0,1.968618543085319e-58,0.00167794128685817
ms_113,113,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0,0.212479411084783,0.0017357582424862893,0.0017096403072125632
ms_202,202,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.17480654478889313,0.00016525707542372416,0.003400341374468864
ms_188,188,manuscript,1.0,1.0,2.0,0.005681818181818182,6.622165713074805e-06,0.2452165177082639,0.07372590374849801,0.001692205846017647
ms_189,189,manuscript,1.0,1.0,2.0,0.005681818181818182,6.622165713074805e-06,0.2452165177082639,0.07372590374849801,0.001692205846017647
ms_211,211,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_12,12,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.21207494520073836,0.0015639632827367915,0.0017096403072125632
ms_199,199,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.2031794003868472,0.019709201452776395,0.007803995784647515
ms_279,279,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18599338544038044,0.0011418900130001762,0.0038320248603215565
ms_223,223,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.19208627220480667,0.032842492470848784,0.0018688331478179969
ms_243,243,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.18947285353535354,0.00642172268955453,0.00311652415301777
ms_3,3,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.10590307783154741,4.843623679833133e-07,0.0018019809317231877
ms_257,257,manuscript,1.0,1.0,2.0,0.005681818181818182,0.0,0.21383884429709768,0.0019060759389517943,0.0017096403072125632
ms_116,116,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_198,198,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.16880308769513316,0.0008529897972638324,0.0021534265921740706
ms_105,105,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.19375658761528328,0.006675605411058404,0.00239723271993797
ms_4,4,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.23471215845250257,0.06515475173268963,0.001692205846017647
ms_68,68,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_220,220,manuscript,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.2051750237178414,0.0012491289517846602,0.0017774614670405678
ms_82,82,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.17371627527877528,0.00040920894026713644,0.002753223414289151
ms_228,228,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.19087956232802036,0.0011558036385915973,0.0017435508871265653
ms_262,262,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.17600321939776917,0.0008727270396277292,0.001805591158127395
ms_150,150,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_175,175,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1853744390662028,0.0017939549554957474,0.005121729668840234
ms_46,46,manuscript,1.0,1.0,2.0,0.008522727272727272,0.00042049000382333714,0.1777819753384913,0.01048714420769669,0.005670345423357528
ms_85,85,manuscript,1.0,1.0,2.0,0.008522727272727272,0.002063908313908314,0.19033605560157382,0.012656491491217866,0.004788325559472006
ms_88,88,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.19906498727597596,0.0033200015036589847,0.0017726553342964965
ms_190,190,manuscript,1.0,1.0,2.0,0.005681818181818182,6.622165713074805e-06,0.2452165177082639,0.07372590374849801,0.001692205846017647
ms_72,72,manuscript,1.0,1.0,2.0,0.005681818181818182,4.027608194274861e-06,0.25054731157148696,0.08486395318546601,0.001692205846017647
ms_114,114,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.2018297787659201,0.0354398194733076,0.0018904018032690519
ms_129,129,manuscript,1.0,0.0,1.0,0.002840909090909091,0.0,0.1927509305861382,0.005724887213925568,0.0020885977605204567
ms_51,51,manuscript,1.0,0.0,1.0,0.005681818181818182,0.0,0.19602939216209012,0.03347435334409268,0.00340696775742894
