Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
canterbury,Canterbury,place,4.0,0.0,4.0,0.011363636363636364,0.0,0.20928623270905675,0.0013362939607795843,0.007090601123458197
verdun,Verdun,place,3.0,0.5,3.5,0.011363636363636364,8.093758093758094e-06,0.21261457610455703,0.0016721765475850086,0.01624415635105931
werden,Werden,place,2.0,0.0,2.0,0.005681818181818182,0.0,0.22752220125007735,0.0035060958187713045,0.003226060028492861
lorsch,Lorsch,place,2.5,0.0,2.5,0.008522727272727272,0.0,0.21370211869332714,0.005136737171457085,0.004056822654274634
france,France,place,0.0,45.00000000000001,45.00000000000001,0.14772727272727273,0.0,0.2708509834978636,0.01601988118603006,0.00167794128685817
ireland,Ireland*,place,0.0,100.0,100.0,0.3068181818181818,0.0,0.3089002898672492,0.6673787557776198,0.00167794128685817
trier,Trier,place,2.0,0.0,2.0,0.005681818181818182,0.0,0.19930239334309102,0.004343776146447361,0.006593341848192565
echternach,Echternach,place,3.0,0.3333333333333333,3.3333333333333335,0.011363636363636364,4.046879046879047e-05,0.21521578469823802,0.0073056954125599064,0.006463678436411431
laon,Laon,place,11.0,3.333333333333333,14.333333333333332,0.045454545454545456,0.002577861952861953,0.2216380063901616,0.0035043549315487625,0.0185928786474515
saint-denis,Saint-Denis,place,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.2123444178121751,0.0015790122233949784,0.0017096403072125632
soissons,Soissons,place,1.0,6.999999999999999,7.999999999999999,0.03125,4.046879046879047e-05,0.21873698536411235,0.007125041115862755,0.0017096403072125632
salzburg,Salzburg,place,0.0,11.5,11.5,0.03409090909090909,0.0,0.1187740275893261,4.961535163236711e-06,0.00167794128685817
fulda,Fulda,place,4.0,1.5,5.5,0.017045454545454544,0.00010521885521885523,0.22876804492564246,0.01837547043530156,0.0060762769825634
roscrea,Roscrea,place,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.23504227400588162,0.0657816908066715,0.001692205846017647
augsburg,Augsburg,place,1.0,2.0,3.0,0.008522727272727272,6.475006475006475e-05,0.19954036635006786,0.0034174007319910456,0.0017726553342964965
reims,Reims,place,2.0,9.0,11.0,0.03409090909090909,0.0003925472675472676,0.21802355749273558,0.002262982056182332,0.0031360962231602655
italy,Italy,place,0.0,14.333333333333332,14.333333333333332,0.05397727272727273,0.0,0.23340091734382937,0.007658496453188671,0.00167794128685817
regensburg,Regensburg,place,5.0,4.0,9.0,0.02556818181818182,0.0019101269101269103,0.22971141830677913,0.011696395684284185,0.010134978247582223
corbie,Corbie,place,3.0,4.0,7.0,0.019886363636363636,0.000259000259000259,0.2588924195479192,0.00844001668458445,0.005068921540818123
wurzburg,Würzburg,place,4.0,0.0,4.0,0.011363636363636364,0.0,0.22814342227738132,0.016513182755391945,0.0060762769825634
deer,Deer,place,1.0,1.0,2.0,0.005681818181818182,8.093758093758094e-06,0.23504227400588162,0.0657816908066715,0.001692205846017647
brittany,Brittany,place,1.0,2.5,3.5,0.011363636363636364,3.642191142191142e-05,0.21383884429709768,0.0017595506012369336,0.0017096403072125632
germany,Germany,place,0.5,22.0,22.5,0.06818181818181818,0.0010975392919837365,0.2499851261304141,0.03400853482327675,0.0024510460615032688
