Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank,Mean percentile
reichenau,Reichenau,place,1.0,0.9759206798866855,0.9915014164305949,0.9915014164305949,1.0,0.9801699716713881,0.9971671388101983,1.0,0.9920325779036826
st-gall,St Gall,place,0.9971671388101983,0.9702549575070821,0.9858356940509915,0.9858356940509915,0.9915014164305949,0.9858356940509915,0.9943342776203966,0.9971671388101983,0.9884915014164305
bobbio,Bobbio,place,0.9915014164305949,0.9943342776203966,0.9943342776203966,0.9943342776203966,0.9971671388101983,0.8498583569405099,0.7280453257790368,0.9858356940509915,0.9419263456090652
corbie,Corbie,place,0.9702549575070821,0.9603399433427762,0.9617563739376771,0.9589235127478754,0.9376770538243626,0.9886685552407932,0.5977337110481586,0.9065155807365439,0.9102337110481588
regensburg,Regensburg,place,0.9886685552407932,0.9603399433427762,0.9716713881019831,0.9674220963172805,0.9844192634560907,0.7011331444759207,0.6260623229461756,0.9773371104815864,0.8971317280453257
laon,Laon,place,0.9943342776203966,0.9546742209631728,0.9815864022662889,0.9801699716713881,0.9943342776203966,0.6685552407932012,0.45609065155807366,0.9943342776203966,0.8780099150141643
fulda,Fulda,place,0.9830028328611898,0.9192634560906515,0.9546742209631728,0.9504249291784702,0.9093484419263456,0.6940509915014165,0.6458923512747875,0.9220963172804533,0.872344192634561
strasbourg,Strasbourg,place,0.9702549575070821,0.9121813031161473,0.9461756373937678,0.9447592067988668,0.9475920679886686,0.6883852691218131,0.40793201133144474,0.9603399433427762,0.8472025495750708
freising,Freising,place,0.9702549575070821,0.9603399433427762,0.9617563739376771,0.9589235127478754,0.9688385269121813,0.5410764872521246,0.4702549575070821,0.9036827195467422,0.8418909348441926
reims,Reims,place,0.9461756373937678,0.9830028328611898,0.9745042492917847,0.9759206798866855,0.9518413597733711,0.6572237960339944,0.41076487252124644,0.830028328611898,0.8411827195467423
