Node,Label,Type,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank
peronne,Péronne,place,1,1,1,0.5,0.0163934426229508,3.38707492209728E-05,0.325333333333333,9.75642039799061E-12,0.00591019624054519
freising,Freising,place,3,1,2,1,0.0327868852459016,0.000203224495325837,0.359882005899705,4.43681349753695E-07,0.00714307009990877
england,England,place,0,7,0,3.83333333333333,0.0573770491803279,0,0.375384615384615,1.08284355138631E-14,0.00572651395283645
ireland,Ireland*,place,0,53,0,44.1666666666667,0.434426229508197,0,0.559633027522936,1.08284355138631E-14,0.00572651395283645
saint-amand,Saint-Amand,place,1,4,1,3,0.0409836065573771,6.77414984419455E-05,0.363095238095238,9.75642039799061E-12,0.00591019624054519
roscrea,Roscrea,place,1,1,1,1,0.0163934426229508,0,0.362017804154303,9.75642039799061E-12,0.0058367233254617
armagh,Armagh,place,1,2,1,2,0.0245901639344262,0.000270965993767782,0.383647798742138,9.75642039799061E-12,0.0058367233254617
reichenau,Reichenau,place,8,9,5.66666666666667,7.5,0.139344262295082,0.00785801381926568,0.4765625,5.03420462855532E-05,0.0175322076424763
salzburg,Salzburg,place,0,2,0,2,0.0163934426229508,0,0.321052631578947,1.08284355138631E-14,0.00572651395283645
augsburg,Augsburg,place,1,2,1,2,0.0245901639344262,6.77414984419455E-05,0.346590909090909,2.20007821396464E-09,0.00607056809011929
trier,Trier,place,3,1,2,1,0.0327868852459016,0.000575802736756537,0.349570200573066,0.00454183909785049,0.00809601456291373
birr,Birr,place,1,1,1,1,0.0163934426229508,0,0.36094674556213,9.75642039799061E-12,0.0058367233254617
laon,Laon,place,4,4,4,2.33333333333333,0.0655737704918033,0.00304836742988755,0.398692810457516,6.68817247498635E-07,0.0102229006815264
lorsch,Lorsch,place,4,1,2.5,0.5,0.0409836065573771,3.38707492209728E-05,0.419243986254296,2.21469660190836E-09,0.00690232940598299
verdun,Verdun,place,1,2,1,2,0.0245901639344262,0.000101612247662918,0.330623306233062,9.75642039799061E-12,0.00591019624054519
northumbria,Northumbria,place,1,5,1,3.25,0.0491803278688525,0.000270965993767782,0.340782122905028,9.75642039799061E-12,0.00699631759395339
wales,Wales,place,0,3,0,2.5,0.0245901639344262,0,0.271111111111111,1.08284355138631E-14,0.00572651395283645
soissons,Soissons,place,1,8,1,5.33333333333333,0.0737704918032787,0.000101612247662918,0.401315789473684,9.75642039799061E-12,0.00591019624054519
fulda,Fulda,place,2,4,2,3.5,0.0491803278688525,0.000440319739872646,0.396103896103896,2.20982380592711E-09,0.00618077746274453
deer,Deer,place,1,1,1,1,0.0163934426229508,6.77414984419455E-05,0.364179104477612,9.75642039799061E-12,0.0058367233254617
lyon,Lyon,place,1,3,1,2.25,0.0327868852459016,6.77414984419455E-05,0.362017804154303,9.75642039799061E-12,0.00591019624054519
mainz,Mainz,place,1,3,1,2.5,0.0327868852459016,0.000474190489093619,0.343661971830986,2.20007821396464E-09,0.00607056809011929
st-gall,St Gall,place,6,5,5,4.33333333333333,0.0901639344262295,0.00416610215417965,0.471042471042471,8.87372434270917E-07,0.00984045996492963
italy,Italy,place,0,15,0,10,0.122950819672131,0,0.38125,1.08284355138631E-14,0.00572651395283645
fussen,Füssen,place,2,1,2,1,0.0245901639344262,0.000270965993767782,0.321052631578947,6.62226790934011E-07,0.00865056932015588
fleury,Fleury,place,2,4,1.5,3.5,0.0491803278688525,0.000270965993767782,0.366366366366366,2.20495100994588E-09,0.00691493608301308
cambrai,Cambrai,place,1,1,1,0.5,0.0163934426229508,3.38707492209728E-05,0.325333333333333,9.75642039799061E-12,0.00591019624054519
strasbourg,Strasbourg,place,3,3,2.33333333333333,3,0.0491803278688525,0.00155805446416475,0.389776357827476,6.66636833831849E-05,0.00704035178509873
canterbury,Canterbury,place,3,3,3,3,0.0491803278688525,0.000779027232082374,0.374233128834356,4.40989119145625E-09,0.00966062577022028
corbie,Corbie,place,3,4,3,4,0.0573770491803279,0.00060967348597751,0.434163701067616,4.40989119145625E-09,0.00802988529810622
iona,Iona,place,1,2,1,2,0.0245901639344262,0,0.384858044164038,9.75642039799061E-12,0.0058367233254617
