source,target,weight,edge_count,type,distance
armagh,canterbury,1.0,1,primary_movement,1.0
armagh,library_dublin_tcd,1.0,1,primary_movement,1.0
augsburg,fussen,1.0,1,primary_movement,1.0
augsburg,library_paris_bnf,1.0,1,primary_movement,1.0
auxerre,auxerre,1.0,1,primary_movement,1.0
auxerre,library_paris_bnf,1.0,1,secondary_movement,1.0
bangor,bobbio,1.5,2,primary_movement,0.6666666666666666
birr,library_oxford_bodleian,1.0,1,primary_movement,1.0
bobbio,freising,1.0,2,primary_movement,1.0
bobbio,library_cologne,0.5,1,primary_movement,2.0
bobbio,library_milan,21.333333333333332,24,primary_movement;secondary_movement,0.046875
bobbio,library_nancy,0.8333333333333333,2,primary_movement;secondary_movement,1.2000000000000002
bobbio,library_naples,4.666666666666667,6,primary_movement,0.21428571428571427
bobbio,library_palermo,1.0,1,primary_movement,1.0
bobbio,library_turin,7.666666666666667,9,primary_movement;secondary_movement,0.13043478260869565
bobbio,library_turin_reale,0.1666666666666666,1,primary_movement,6.000000000000003
bobbio,library_vatican,1.3333333333333333,3,primary_movement;secondary_movement,0.75
bobbio,library_vienna,0.5,1,primary_movement,2.0
bobbio,st-gall,1.0,1,primary_movement,1.0
brittany,corbie,1.0,1,primary_movement,1.0
brittany,echternach,1.0,1,primary_movement,1.0
brittany,fleury,0.5,1,primary_movement,2.0
cambrai,library_cambrai,0.5,1,primary_movement,2.0
canterbury,library_cambridge_corpus,1.0,1,secondary_movement,1.0
canterbury,library_hereford,1.0,1,secondary_movement,1.0
canterbury,library_london_lambeth,1.0,1,secondary_movement,1.0
clondalkin,reichenau,1.0,1,primary_movement,1.0
corbie,library_laon,1.0,1,primary_movement,1.0
corbie,library_paris_bnf,3.0,3,primary_movement;secondary_movement,0.3333333333333333
corbie,library_st-petersburg,1.0,1,primary_movement,1.0
corbie,paris,1.0,1,primary_movement,1.0
deer,library_cambridge_ul,1.0,1,primary_movement,1.0
echternach,library_paris_bnf,3.333333333333333,5,primary_movement;secondary_movement,0.30000000000000004
england,canterbury,2.0,2,place_hierarchy;primary_movement,0.5
england,germany,0.25,1,primary_movement,4.0
england,library_cambridge_trinity,0.5,1,primary_movement,2.0
england,library_london_bl,0.5,1,primary_movement,2.0
england,library_paris_bnf,0.8333333333333333,2,primary_movement,1.2000000000000002
england,lorsch,0.25,1,primary_movement,4.0
england,northumbria,1.0,1,place_hierarchy,1.0
fleury,fleury,0.5,1,primary_movement,2.0
fleury,library_bern,1.5,2,primary_movement;secondary_movement,0.6666666666666666
fleury,library_leiden,1.0,1,secondary_movement,1.0
fleury,library_orleans,1.0,1,primary_movement,1.0
fleury,library_paris_bnf,0.5,1,primary_movement,2.0
france,auxerre,1.0,1,place_hierarchy,1.0
france,bobbio,0.1666666666666666,1,primary_movement,6.000000000000003
france,brittany,1.0,1,place_hierarchy,1.0
france,cambrai,1.0,1,place_hierarchy,1.0
france,canterbury,1.0,1,primary_movement,1.0
france,corbie,1.0,1,place_hierarchy,1.0
france,fleury,1.0,1,place_hierarchy,1.0
france,laon,5.5,6,place_hierarchy;primary_movement,0.18181818181818182
france,library_bern,1.0,1,primary_movement,1.0
france,library_einsiedeln,1.0,1,primary_movement,1.0
france,library_laon,6.5,8,primary_movement,0.15384615384615385
france,library_leiden,3.3333333333333335,4,primary_movement,0.3
france,library_orleans,0.3333333333333333,1,primary_movement,3.0
france,library_paris_bnf,2.833333333333333,4,primary_movement,0.35294117647058826
france,library_vatican,0.5,1,primary_movement,2.0
france,library_vienna,1.0,1,primary_movement,1.0
france,luxeuil,1.0,1,place_hierarchy,1.0
france,lyon,2.0,2,place_hierarchy;primary_movement,0.5
france,paris,1.0,1,place_hierarchy,1.0
france,peronne,1.0,1,place_hierarchy,1.0
france,reichenau,1.8333333333333333,5,primary_movement,0.5454545454545455
france,reims,1.0,1,place_hierarchy,1.0
france,rouen,1.0,1,place_hierarchy,1.0
france,saint-amand,1.0,1,place_hierarchy,1.0
france,saint-denis,1.0,1,place_hierarchy,1.0
france,soissons,1.0,1,place_hierarchy,1.0
france,st-gall,0.5,1,primary_movement,2.0
france,strasbourg,1.0,1,place_hierarchy,1.0
france,tours,1.0,1,place_hierarchy,1.0
france,verdun,1.5,2,place_hierarchy;primary_movement,0.6666666666666666
france,werden,1.0,1,primary_movement,1.0
freising,library_munich,6.0,6,primary_movement;secondary_movement,0.16666666666666666
fulda,library_basel,2.0,2,secondary_movement,0.5
fulda,library_bern,1.0,1,primary_movement,1.0
fulda,library_fulda,0.5,1,primary_movement,2.0
fulda,library_kassel,1.0,1,secondary_movement,1.0
fussen,library_augsburg,1.0,1,secondary_movement,1.0
germany,augsburg,1.0,1,place_hierarchy,1.0
germany,freising,1.0,1,place_hierarchy,1.0
germany,fulda,1.0,1,place_hierarchy,1.0
germany,fussen,1.0,1,place_hierarchy,1.0
germany,library_karlsruhe,0.5,1,primary_movement,2.0
germany,library_kassel,1.0,1,primary_movement,1.0
germany,library_munich,7.0,7,primary_movement,0.14285714285714285
germany,library_vatican,0.5,1,secondary_movement,2.0
germany,lorsch,1.0,1,place_hierarchy,1.0
germany,mainz,2.0,2,place_hierarchy;primary_movement,0.5
germany,regensburg,1.5,2,place_hierarchy;primary_movement,0.6666666666666666
germany,reichenau,1.0,1,place_hierarchy,1.0
germany,st-gall,1.0,1,primary_movement,1.0
germany,trier,1.0,1,place_hierarchy,1.0
germany,werden,1.0,1,place_hierarchy,1.0
germany,wurzburg,1.0,1,place_hierarchy,1.0
iona,library_dublin_tcd,1.0,1,primary_movement,1.0
iona,reichenau,1.0,1,primary_movement,1.0
