Node,Label,Type,In-degree count,Out-degree count,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
peronne,Péronne,place,1,1,1.0,0.5,1.5,0.01639344262295082,3.387074922097277e-05,0.3786901927968522,0.0015018509751549983,0.005861422760522835
freising,Freising,place,3,1,3.0,6.0,9.0,0.03278688524590164,0.0002032244953258366,0.43626785592214223,0.010385763738586302,0.0065624133352575964
england,England,place,0,7,0.0,5.333333333333333,5.333333333333333,0.05737704918032787,0.0,0.39155531387969056,0.002500301128690888,0.005752761615125726
ireland,Ireland*,place,0,53,0.0,100.0,100.0,0.43442622950819676,0.0,0.6986045585491545,0.4826658039130206,0.005752761615125726
saint-amand,Saint-Amand,place,1,4,1.0,6.5,7.5,0.04098360655737705,6.774149844194554e-05,0.4752141113982609,0.005926406625817724,0.005861422760522835
roscrea,Roscrea,place,1,1,1.0,1.0,2.0,0.01639344262295082,0.0,0.41407327157192947,0.01372011468646029,0.005801659130554425
armagh,Armagh,place,1,2,1.0,2.0,3.0,0.02459016393442623,0.00027096599376778217,0.4253728561562579,0.013772673310527922,0.005801659130554425
reichenau,Reichenau,place,8,9,28.499999999999996,35.0,63.5,0.13934426229508198,0.008264462809917356,0.6856648122310639,0.6420350915059095,0.018595701013774477
salzburg,Salzburg,place,0,2,0.0,11.5,11.5,0.01639344262295082,0.0,0.4484738946469463,0.006347709530312868,0.005752761615125726
augsburg,Augsburg,place,1,2,1.0,2.0,3.0,0.02459016393442623,6.774149844194554e-05,0.4214912765154329,0.002965326113833538,0.005979206490464308
trier,Trier,place,3,1,2.0,1.0,3.0,0.03278688524590164,0.0006096734859775099,0.317330315534059,0.00960724226173949,0.007259991780563477
birr,Birr,place,1,1,1.0,1.0,2.0,0.01639344262295082,0.0,0.41337177074615755,0.013354958159072772,0.005801659130554425
laon,Laon,place,4,4,11.0,13.333333333333334,24.333333333333336,0.06557377049180328,0.003116108928329495,0.5477572900073981,0.02852595688874319,0.011641204654971257
lorsch,Lorsch,place,4,1,2.5,1.5,4.0,0.04098360655737705,6.774149844194554e-05,0.365510985014329,0.005483674099719942,0.006561783429372806
verdun,Verdun,place,1,2,1.5,2.0,3.5,0.02459016393442623,6.774149844194554e-05,0.4336548131144332,0.0022620378309327976,0.005915753333221389
northumbria,Northumbria,place,1,5,1.0,4.5,5.5,0.04918032786885246,0.0003387074922097277,0.3817925028800032,0.001703895823145578,0.006669590029413834
wales,Wales,place,0,3,0.0,2.5,2.5,0.02459016393442623,0.0,0.23343302626107637,9.217832170646561e-05,0.005752761615125726
soissons,Soissons,place,1,8,1.0,6.999999999999999,7.999999999999999,0.07377049180327869,0.00013548299688389108,0.5221712514898199,0.03534957743035554,0.005861422760522835
fulda,Fulda,place,2,4,3.0,4.5,7.5,0.04918032786885246,0.0006096734859775099,0.5382335474490326,0.02697213483458493,0.006077001521321707
deer,Deer,place,1,1,1.0,1.0,2.0,0.01639344262295082,6.774149844194554e-05,0.4212214912830766,0.012688335126748855,0.005801659130554425
lyon,Lyon,place,1,3,2.0,2.5,4.5,0.03278688524590164,6.774149844194554e-05,0.4654398894712306,0.00407412956391218,0.005970083905919944
mainz,Mainz,place,1,3,2.0,2.5,4.5,0.03278688524590164,0.0004741904890936188,0.4095689042160352,0.0038555565371813294,0.006205651365802891
st-gall,St Gall,place,6,5,15.0,19.333333333333332,34.33333333333333,0.09016393442622951,0.003929006909632842,0.6617924973692717,0.17789597380785704,0.008692494909441722
