Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank
library_london_getty,Private Collection J. Paul Getty Jr.,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_cambridge_ul,University Library,library,2.0,0.0,2.0,0.01639344262295082,0.0,0.3007638578174031,0.000335766531789696,0.012639985046485006
library_leuven,University Library,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_paris_arsenal,Bibliothèque de l’Arsenal,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.30323385260902674,5.942747989126581e-05,0.008266922838796358
library_valenciennes,Bibliothèque municipale,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.32298511692654963,0.00015569192307746628,0.006519243483718159
library_kues,Hospitalbibliothek,library,1.0,0.0,1.0,0.01639344262295082,0.0,0.2954182052191419,0.006362137985977624,0.0064071229151202195
library_regensburg,Staatliche Bibliothek,library,0.2,0.0,0.2,0.00819672131147541,0.0,0.13972983174305975,0.0001538160520208805,0.0058880599735945715
library_dresden,Sächsische Landesbibliothek – Staats- und Universitätsbibliothek,library,2.0,0.0,2.0,0.01639344262295082,0.0,0.40468177407812406,0.004917988159378589,0.006633159283935419
library_oxford_bodleian,Bodleian Library,library,3.0,0.0,3.0,0.01639344262295082,0.0,0.5199590883589953,0.02570988627804745,0.01078187946019444
library_berlin,Staatsbibliothek Preussischer Kulturbesitz,library,4.0,0.0,4.0,0.04098360655737705,0.0,0.35095109936684565,0.0014256394367205174,0.019074076650055977
library_vatican,Biblioteca Apostolica Vaticana,library,8.833333333333332,0.0,8.833333333333332,0.09016393442622951,0.0,0.44833945207735626,0.022825388635134895,0.015106480338663547
library_jena,Thüringer Universitäts- und Landesbibliothek,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.3479831931419597,0.0007498341175014757,0.0074745622971244974
library_gniezo,Biblioteka Kapitulna,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.339443588870361,0.00024435166661121715,0.006250974829710807
library_zurich_zentral,Zentralbibliothek,library,2.0,0.0,2.0,0.01639344262295082,0.0,0.4097520531808552,0.01700623745332067,0.007834342390777863
library_london_bl,British Library,library,5.5,0.0,5.5,0.03278688524590164,0.0,0.5728582268583209,0.03817970033203895,0.013530504895403837
library_schaffhausen,Stadtbibliothek,library,3.0,0.0,3.0,0.01639344262295082,0.0,0.5188534221607223,0.04222645541940607,0.006302220240678624
library_dublin_ria,Royal Irish Academy,library,4.0,0.0,4.0,0.01639344262295082,0.0,0.5684098896789465,0.038841564571406674,0.00836511556851748
library_lichfield,Cathedral Library,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.18954876441065333,2.4215127275383883e-06,0.00770866223227369
library_karlsruhe,Badische Landesbibliothek,library,30.0,0.0,30.0,0.02459016393442623,0.0,0.6696853075631413,0.4939438746997934,0.018787294017045472
library_dublin_museum,National Museum of Ireland,library,2.0,0.0,2.0,0.00819672131147541,0.0,0.5188534221607223,0.025359029297293157,0.0058505566459831244
library_laon,Bibliothèque municipale,library,25.0,0.0,25.0,0.06557377049180328,0.0,0.5617021391803096,0.039748670559227116,0.020620064145581447
library_nancy,Bibliothèque municipale,library,1.3333333333333333,0.0,1.3333333333333333,0.01639344262295082,0.0,0.3602984883264058,0.009476755554114657,0.005978928196435069
library_wroclaw,University Library Rehdigeranus,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.319940431905233,0.0003124889872729703,0.006093907071605022
library_saint-omer,Bibliothèque municipale,library,1.0,0.0,1.0,0.01639344262295082,0.0,0.29782695344104476,0.006340968080687058,0.006755160681414057
library_fulda,Landesbibliothek,library,1.0,0.0,1.0,0.01639344262295082,0.0,0.29437403721411604,0.006694059635992977,0.006351143933506333
library_dusseldorf,Universitäts- und Landesbibliothek,library,0.3333333333333333,0.0,0.3333333333333333,0.00819672131147541,0.0,0.22692023799767302,0.004226504882882192,0.0057690607869352924
library_florence,Biblioteca Medicea Laurenziana,library,2.5,0.0,2.5,0.02459016393442623,0.0,0.32497943268208523,0.0003227042185696084,0.010467300666568695
library_turin,Biblioteca Nazionale,library,10.333333333333334,0.0,10.333333333333334,0.02459016393442623,0.0,0.5831997941694331,0.05442773900288905,0.007933790927376595
library_reims,Abbey of Saint-Remi,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.339443588870361,0.00024435166661121715,0.006250974829710807
library_zurich,Staatsarchiv,library,3.0,0.0,3.0,0.01639344262295082,0.0,0.5188534221607223,0.030032665790060527,0.006232741100207735
library_kassel,Landesbibliothek,library,2.0,0.0,2.0,0.01639344262295082,0.0,0.36563583234492536,0.0017940357651968469,0.007127073611796823
library_montecassino,Archivio dell'Abbazia,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.319940431905233,0.0003124889872729703,0.006093907071605022
library_paris_bnf,Bibliothèque nationale de France,library,22.833333333333332,0.0,22.833333333333332,0.10655737704918034,0.0,0.6655660324733317,0.07039183520692176,0.0354507017087385
library_st-gall,Stiftsbibliothek,library,16.0,0.0,16.0,0.00819672131147541,0.0,0.6357136188276288,0.07477818388427795,0.011867712882719504
library_columbia,"Columbia University, Butler Library",library,0.5333333333333333,0.0,0.5333333333333333,0.01639344262295082,0.0,0.22692023799767302,0.0043803209349030725,0.005904359145404137
library_dublin_tcd,Trinity College,library,7.0,0.0,7.0,0.04098360655737705,0.0,0.5737562623640772,0.03960913547069525,0.01702192487439474
library_naples,Biblioteca Nazionale,library,6.333333333333334,0.0,6.333333333333334,0.02459016393442623,0.0,0.5573113978824766,0.017827262104903246,0.012091943877428034
library_bologna,Biblioteca Universitaria,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.339443588870361,0.00024435166661121715,0.006250974829710807
library_palermo,Archivio di Stato,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.3880306694738148,0.003764397875749642,0.005994823003439718
library_leiden,Universiteitsbibliotheek,library,8.333333333333334,0.0,8.333333333333334,0.04098360655737705,0.0,0.5762150971780674,0.030797975944902422,0.010278192464563692
library_st-petersburg,Russian National Library,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.3560284023945232,0.0005526434562452168,0.006872417203377206
library_basel,Universitätsbibliothek,library,4.0,0.0,4.0,0.02459016393442623,0.0,0.42680340125621774,0.006229657070653875,0.010060597492972001
library_colmar,Bibliothèque municipale,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_cambrai,Bibliothèque municipale,library,1.0,0.0,1.0,0.01639344262295082,0.0,0.21701887529960942,3.9456115931442956e-05,0.015717025906827352
library_orleans,Bibliothèque municipale,library,1.3333333333333333,0.0,1.3333333333333333,0.01639344262295082,0.0,0.2796732022318602,0.0005893082870455909,0.007246293797427049
library_cambridge_trinity,Trinity College,library,0.5,0.0,0.5,0.00819672131147541,0.0,0.22038450254648248,3.2841362909652124e-05,0.006211175822269779
library_durham,Cathedral Library,library,2.5,0.0,2.5,0.01639344262295082,0.0,0.3267946911168753,0.0032705916396061504,0.008599592434243547
library_augsburg,Bischöfliche Ordinariatsbibliothek,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.24486737845580836,3.058303193031844e-05,0.012995332302841143
library_vienna,Österreichische Nationalbibliothek,library,12.0,0.0,12.0,0.04098360655737705,0.0,0.46332266177463194,0.017641702545584347,0.01024135398143337
library_munich,Bayerische Staatsbibliothek,library,24.9,0.0,24.9,0.04918032786885246,0.0,0.4590481562579493,0.03313921648609674,0.020148270709053947
library_harvard,"Harvard University, Houghton Library",library,1.2,0.0,1.2,0.01639344262295082,0.0,0.41267264279087496,0.012833330700667459,0.00593695748902327
library_beuron,Bibliothek der Benediktiner-Erzabtei,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.4081229799603593,0.01686742612211292,0.006204425209821226
library_st-paul,Archiv des Benediktinerstifts,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.4081229799603593,0.01686742612211292,0.006204425209821226
library_turin_reale,Biblioteca Reale,library,0.3333333333333332,0.0,0.3333333333333332,0.01639344262295082,0.0,0.1334251625443331,0.0006794811438371017,0.005849962755924607
library_cambridge_corpus,"Corpus Christi College, Parker Library",library,2.0,0.0,2.0,0.01639344262295082,0.0,0.29615396549461703,0.00012631453466840076,0.010624704213872849
library_bamberg,Staatsbibliothek,library,3.0,0.0,3.0,0.02459016393442623,0.0,0.3683515506545567,0.0014854661615912972,0.007303853449883077
library_cologne,Historisches Archiv,library,1.0,0.0,1.0,0.01639344262295082,0.0,0.2953283538298047,0.00822195626219811,0.005898241066997072
library_paris_mazarine,Bibliothèque Mazarine,library,0.5,0.0,0.5,0.00819672131147541,0.0,0.2564966041492732,0.00046431275385355487,0.0061086281969722125
library_bern,Burgerbibliothek,library,4.5,0.0,4.5,0.03278688524590164,0.0,0.3968171258843887,0.00248597807937414,0.01102096150689525
library_werden,Propsteiarchiv,library,0.3333333333333333,0.0,0.3333333333333333,0.00819672131147541,0.0,0.22692023799767302,0.004226504882882192,0.0057690607869352924
library_trier,Stadtbibliothek,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_wurzburg,Universitätsbibliothek,library,5.0,0.0,5.0,0.01639344262295082,0.0,0.5692940217885631,0.03953821218094268,0.009343055525409365
library_milan,Biblioteca Ambrosiana,library,26.333333333333332,0.0,26.333333333333332,0.03278688524590164,0.0,0.614714486088429,0.11265509001288901,0.013528614669707412
library_london_lambeth,Lambeth Palace Library,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.2832616329192855,5.255862406763071e-05,0.008631851355532523
library_hereford,Cathedral Library,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.2832616329192855,5.255862406763071e-05,0.008631851355532523
library_ghent,Universiteitsbibliotheek,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_einsiedeln,Stiftsbibliothek,library,2.0,0.0,2.0,0.01639344262295082,0.0,0.3812917771804388,0.001644077387186334,0.007687126684809308
library_cambridge_magdalen,Magdalen College,library,0.5,0.0,0.5,0.01639344262295082,0.0,0.18626697225454922,0.003181068992988812,0.006079942265122973
library_warminster,Library of the Marquess of Bath [Longleat House],library,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_cambridge_stjohns,St John's College,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.41267264279087496,0.012679514648646579,0.005801659130554425
library_cambridge_pembroke,Pembroke College,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.2998520037898013,0.00018041522770409043,0.007730676412384884
library_rouen,Bibliothèque municipale,library,1.0,0.0,1.0,0.00819672131147541,0.0,0.3046125166318401,0.000372813087413385,0.010776465032317946
