Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank,Mean percentile
library_paris_bnf,Bibliothèque nationale de France,library,0.9444444444444444,0.0,0.9444444444444444,1.0,0.0,0.9861111111111112,0.9583333333333334,1.0,0.7291666666666666
library_karlsruhe,Badische Landesbibliothek,library,1.0,0.0,1.0,0.8125,0.0,1.0,1.0,0.9444444444444444,0.7196180555555556
library_laon,Bibliothèque municipale,library,0.9722222222222222,0.0,0.9722222222222222,0.9722222222222222,0.0,0.8611111111111112,0.9166666666666666,0.9861111111111112,0.7100694444444444
library_milan,Biblioteca Ambrosiana,library,0.9861111111111112,0.0,0.9861111111111112,0.875,0.0,0.9583333333333334,0.9861111111111112,0.875,0.7083333333333334
library_munich,Bayerische Staatsbibliothek,library,0.9583333333333334,0.0,0.9583333333333334,0.9583333333333334,0.0,0.7638888888888888,0.8472222222222222,0.9722222222222222,0.6822916666666666
library_dublin_tcd,Trinity College,library,0.8611111111111112,0.0,0.8611111111111112,0.9236111111111112,0.0,0.9166666666666666,0.9027777777777778,0.9305555555555556,0.6744791666666666
library_london_bl,British Library,library,0.8333333333333334,0.0,0.8333333333333334,0.875,0.0,0.9027777777777778,0.8611111111111112,0.8888888888888888,0.6493055555555556
library_vatican,Biblioteca Apostolica Vaticana,library,0.8888888888888888,0.0,0.8888888888888888,0.9861111111111112,0.0,0.75,0.7777777777777778,0.9027777777777778,0.6493055555555556
library_leiden,Universiteitsbibliotheek,library,0.875,0.0,0.875,0.9236111111111112,0.0,0.9305555555555556,0.8333333333333334,0.7361111111111112,0.6467013888888888
library_turin,Biblioteca Nazionale,library,0.9027777777777778,0.0,0.9027777777777778,0.8125,0.0,0.9444444444444444,0.9444444444444444,0.6111111111111112,0.6397569444444444
library_vienna,Österreichische Nationalbibliothek,library,0.9166666666666666,0.0,0.9166666666666666,0.9236111111111112,0.0,0.7777777777777778,0.75,0.7222222222222222,0.6258680555555556
library_naples,Biblioteca Nazionale,library,0.8472222222222222,0.0,0.8472222222222222,0.8125,0.0,0.8472222222222222,0.7638888888888888,0.8333333333333334,0.618923611111111
library_st-gall,Stiftsbibliothek,library,0.9305555555555556,0.0,0.9305555555555556,0.22916666666666666,0.0,0.9722222222222222,0.9722222222222222,0.8194444444444444,0.6067708333333334
library_wurzburg,Universitätsbibliothek,library,0.8194444444444444,0.0,0.8194444444444444,0.6111111111111112,0.0,0.8888888888888888,0.8888888888888888,0.6944444444444444,0.5902777777777778
library_dublin_ria,Royal Irish Academy,library,0.7777777777777778,0.0,0.7777777777777778,0.6111111111111112,0.0,0.875,0.875,0.6388888888888888,0.5694444444444444
library_oxford_bodleian,Bodleian Library,library,0.7291666666666666,0.0,0.7291666666666666,0.6111111111111112,0.0,0.8333333333333334,0.8055555555555556,0.7916666666666666,0.5625000000000001
library_basel,Universitätsbibliothek,library,0.7777777777777778,0.0,0.7777777777777778,0.8125,0.0,0.7361111111111112,0.5138888888888888,0.7083333333333334,0.540798611111111
library_bern,Burgerbibliothek,library,0.8055555555555556,0.0,0.8055555555555556,0.875,0.0,0.5555555555555556,0.4027777777777778,0.8055555555555556,0.53125
library_berlin,Staatsbibliothek Preussischer Kulturbesitz,library,0.7777777777777778,0.0,0.7777777777777778,0.9236111111111112,0.0,0.4583333333333333,0.3472222222222222,0.9583333333333334,0.5303819444444445
library_schaffhausen,Stadtbibliothek,library,0.7291666666666666,0.0,0.7291666666666666,0.6111111111111112,0.0,0.8055555555555556,0.9305555555555556,0.4027777777777778,0.5260416666666666
library_zurich,Staatsarchiv,library,0.7291666666666666,0.0,0.7291666666666666,0.6111111111111112,0.0,0.8055555555555556,0.8194444444444444,0.3472222222222222,0.5052083333333334
library_zurich_zentral,Zentralbibliothek,library,0.625,0.0,0.625,0.6111111111111112,0.0,0.6111111111111112,0.7361111111111112,0.5972222222222222,0.4756944444444445
library_bamberg,Staatsbibliothek,library,0.7291666666666666,0.0,0.7291666666666666,0.8125,0.0,0.5138888888888888,0.3611111111111111,0.5277777777777778,0.45920138888888884
library_florence,Biblioteca Medicea Laurenziana,library,0.6875,0.0,0.6875,0.8125,0.0,0.375,0.2361111111111111,0.75,0.4435763888888889
library_durham,Cathedral Library,library,0.6875,0.0,0.6875,0.6111111111111112,0.0,0.3888888888888889,0.4305555555555556,0.6527777777777778,0.43229166666666663
library_dresden,Sächsische Landesbibliothek – Staats- und Universitätsbibliothek,library,0.625,0.0,0.625,0.6111111111111112,0.0,0.5694444444444444,0.5,0.4583333333333333,0.4236111111111111
library_einsiedeln,Stiftsbibliothek,library,0.625,0.0,0.625,0.6111111111111112,0.0,0.5277777777777778,0.375,0.5555555555555556,0.4149305555555556
library_harvard,"Harvard University, Houghton Library",library,0.5416666666666666,0.0,0.5416666666666666,0.6111111111111112,0.0,0.6736111111111112,0.6944444444444444,0.20833333333333334,0.4088541666666667
library_cambridge_ul,University Library,library,0.625,0.0,0.625,0.6111111111111112,0.0,0.2916666666666667,0.25,0.8472222222222222,0.40625
