Node,Label,Type,In-strength,Out-strength,Total strength,Degree centrality,Betweenness centrality,Closeness centrality,Eigenvector centrality,PageRank,Mean percentile
reichenau,Reichenau,place,1.0,0.9411764705882353,0.9803921568627451,0.9411764705882353,1.0,0.9803921568627451,1.0,1.0,0.9803921568627451
bobbio,Bobbio,place,0.9411764705882353,0.9607843137254902,0.9607843137254902,0.9215686274509803,0.9803921568627451,0.9411764705882353,0.9411764705882353,0.9607843137254902,0.9509803921568628
st-gall,St Gall,place,0.9803921568627451,0.9019607843137255,0.9215686274509803,0.8725490196078431,0.9607843137254902,0.9607843137254902,0.9607843137254902,0.9215686274509803,0.9350490196078431
laon,Laon,place,0.9607843137254902,0.8627450980392157,0.9019607843137255,0.8235294117647058,0.9411764705882353,0.8627450980392157,0.7647058823529411,0.9803921568627451,0.8872549019607844
corbie,Corbie,place,0.8627450980392157,0.7352941176470589,0.7745098039215687,0.7843137254901961,0.8235294117647058,0.8823529411764706,0.7254901960784313,0.8823529411764706,0.8088235294117647
regensburg,Regensburg,place,0.8627450980392157,0.803921568627451,0.8137254901960784,0.7843137254901961,0.9019607843137255,0.6862745098039216,0.803921568627451,0.7058823529411765,0.795343137254902
germany,Germany,place,0.1568627450980392,0.9215686274509803,0.8823529411764706,0.9607843137254902,0.9215686274509803,0.7058823529411765,0.9019607843137255,0.5882352941176471,0.7549019607843137
fulda,Fulda,place,0.8627450980392157,0.6764705882352942,0.7156862745098039,0.7058823529411765,0.8235294117647058,0.8431372549019608,0.7450980392156863,0.6176470588235294,0.7487745098039216
wurzburg,Würzburg,place,0.8627450980392157,0.5686274509803921,0.6666666666666666,0.5294117647058824,0.7352941176470589,0.8235294117647058,0.7843137254901961,0.6176470588235294,0.6985294117647058
freising,Freising,place,0.8627450980392157,0.7352941176470589,0.7745098039215687,0.5294117647058824,0.6274509803921569,0.6078431372549019,0.5490196078431373,0.7647058823529411,0.6813725490196078
soissons,Soissons,place,0.37254901960784315,0.7843137254901961,0.7450980392156863,0.8431372549019608,0.5980392156862745,0.803921568627451,0.8823529411764706,0.4019607843137255,0.678921568627451
strasbourg,Strasbourg,place,0.803921568627451,0.5686274509803921,0.6470588235294118,0.7058823529411765,0.8823529411764706,0.5686274509803921,0.4117647058823529,0.7254901960784313,0.6642156862745099
ireland,Ireland*,place,0.0784313725490196,1.0,1.0,1.0,0.1568627450980392,1.0,0.9803921568627451,0.0784313725490196,0.6617647058823528
reims,Reims,place,0.37254901960784315,0.8235294117647058,0.8137254901960784,0.8725490196078431,0.7058823529411765,0.7843137254901961,0.5098039215686274,0.4019607843137255,0.6605392156862746
echternach,Echternach,place,0.696078431372549,0.6274509803921569,0.5784313725490197,0.35294117647058826,0.4411764705882353,0.9019607843137255,0.7058823529411765,0.8627450980392157,0.6458333333333333
canterbury,Canterbury,place,0.9215686274509803,0.5686274509803921,0.6862745098039216,0.7058823529411765,0.8627450980392157,0.23529411764705882,0.1568627450980392,0.9411764705882353,0.6348039215686275
paris,Paris,place,0.696078431372549,0.5686274509803921,0.5490196078431373,0.6274509803921569,0.7745098039215687,0.5490196078431373,0.49019607843137253,0.8235294117647058,0.6348039215686274
france,France,place,0.0784313725490196,0.9803921568627451,0.9411764705882353,0.9803921568627451,0.1568627450980392,0.9215686274509803,0.9215686274509803,0.0784313725490196,0.6323529411764706
fleury,Fleury,place,0.5980392156862745,0.6470588235294118,0.6176470588235294,0.7058823529411765,0.6666666666666666,0.19607843137254902,0.3333333333333333,0.803921568627451,0.5710784313725491
saint-amand,Saint-Amand,place,0.37254901960784315,0.7647058823529411,0.7156862745098039,0.6274509803921569,0.4411764705882353,0.7647058823529411,0.45098039215686275,0.4019607843137255,0.5674019607843138
mainz,Mainz,place,0.696078431372549,0.47058823529411764,0.5196078431372549,0.5294117647058824,0.7745098039215687,0.3333333333333333,0.35294117647058826,0.6862745098039216,0.5453431372549019
lyon,Lyon,place,0.696078431372549,0.47058823529411764,0.5196078431372549,0.5294117647058824,0.4411764705882353,0.7254901960784313,0.37254901960784315,0.5490196078431373,0.5379901960784313
italy,Italy,place,0.0784313725490196,0.8823529411764706,0.8627450980392157,0.9019607843137255,0.1568627450980392,0.7450980392156863,0.5686274509803921,0.0784313725490196,0.5343137254901961
northumbria,Northumbria,place,0.37254901960784315,0.6764705882352942,0.6176470588235294,0.7058823529411765,0.7352941176470589,0.1568627450980392,0.11764705882352941,0.7843137254901961,0.5208333333333334
trier,Trier,place,0.696078431372549,0.16666666666666666,0.3333333333333333,0.5294117647058824,0.8235294117647058,0.0392156862745098,0.5294117647058824,0.8431372549019608,0.49509803921568624
rouen,Rouen,place,0.696078431372549,0.16666666666666666,0.3333333333333333,0.35294117647058826,0.5980392156862745,0.6274509803921569,0.6666666666666666,0.5098039215686274,0.4938725490196078
lorsch,Lorsch,place,0.7843137254901961,0.30392156862745096,0.49019607843137253,0.6274509803921569,0.4411764705882353,0.0784313725490196,0.43137254901960786,0.7450980392156863,0.48774509803921573
verdun,Verdun,place,0.5980392156862745,0.37254901960784315,0.45098039215686275,0.35294117647058826,0.4411764705882353,0.5882352941176471,0.17647058823529413,0.5294117647058824,0.4387254901960784
armagh,Armagh,place,0.37254901960784315,0.37254901960784315,0.3333333333333333,0.35294117647058826,0.6666666666666666,0.5294117647058824,0.6470588235294118,0.22549019607843138,0.4375
tours,Tours,place,0.37254901960784315,0.47058823529411764,0.45098039215686275,0.5294117647058824,0.5588235294117647,0.29411764705882354,0.2549019607843137,0.4019607843137255,0.4166666666666667
werden,Werden,place,0.696078431372549,0.16666666666666666,0.3333333333333333,0.35294117647058826,0.5588235294117647,0.27450980392156865,0.23529411764705882,0.6470588235294118,0.40808823529411764
salzburg,Salzburg,place,0.0784313725490196,0.8431372549019608,0.8431372549019608,0.12745098039215685,0.1568627450980392,0.6666666666666666,0.47058823529411764,0.0784313725490196,0.40808823529411764
augsburg,Augsburg,place,0.37254901960784315,0.37254901960784315,0.3333333333333333,0.35294117647058826,0.4411764705882353,0.5098039215686274,0.27450980392156865,0.5686274509803921,0.40318627450980393
fussen,Füssen,place,0.696078431372549,0.16666666666666666,0.3333333333333333,0.35294117647058826,0.6666666666666666,0.058823529411764705,0.0392156862745098,0.9019607843137255,0.40196078431372545
iona,Iona,place,0.37254901960784315,0.37254901960784315,0.3333333333333333,0.35294117647058826,0.1568627450980392,0.47058823529411764,0.8627450980392157,0.22549019607843138,0.3933823529411765
tallaght,Tallaght,place,0.37254901960784315,0.37254901960784315,0.3333333333333333,0.35294117647058826,0.1568627450980392,0.45098039215686275,0.8431372549019608,0.22549019607843138,0.3884803921568628
brittany,Brittany,place,0.37254901960784315,0.47058823529411764,0.45098039215686275,0.5294117647058824,0.4411764705882353,0.17647058823529413,0.21568627450980393,0.4019607843137255,0.38235294117647056
england,England,place,0.0784313725490196,0.7058823529411765,0.5784313725490197,0.7843137254901961,0.1568627450980392,0.21568627450980393,0.19607843137254902,0.0784313725490196,0.349264705882353
bangor,Bangor,place,0.37254901960784315,0.30392156862745096,0.22549019607843138,0.12745098039215685,0.1568627450980392,0.6470588235294118,0.6862745098039216,0.22549019607843138,0.3431372549019608
deer,Deer,place,0.37254901960784315,0.16666666666666666,0.12745098039215685,0.12745098039215685,0.4411764705882353,0.49019607843137253,0.5882352941176471,0.22549019607843138,0.31740196078431376
clondalkin,Clondalkin,place,0.37254901960784315,0.16666666666666666,0.12745098039215685,0.12745098039215685,0.1568627450980392,0.37254901960784315,0.8235294117647058,0.22549019607843138,0.2965686274509804
switzerland,Switzerland,place,0.0784313725490196,0.5686274509803921,0.3333333333333333,0.35294117647058826,0.1568627450980392,0.3137254901960784,0.39215686274509803,0.0784313725490196,0.2843137254901961
roscrea,Roscrea,place,0.37254901960784315,0.16666666666666666,0.12745098039215685,0.12745098039215685,0.1568627450980392,0.39215686274509803,0.6274509803921569,0.22549019607843138,0.2745098039215686
birr,Birr,place,0.37254901960784315,0.16666666666666666,0.12745098039215685,0.12745098039215685,0.1568627450980392,0.35294117647058826,0.6078431372549019,0.22549019607843138,0.26715686274509803
auxerre,Auxerre,place,0.37254901960784315,0.16666666666666666,0.12745098039215685,0.12745098039215685,0.1568627450980392,0.4215686274509804,0.30392156862745096,0.4019607843137255,0.25980392156862747
saint-denis,Saint-Denis,place,0.37254901960784315,0.16666666666666666,0.12745098039215685,0.12745098039215685,0.1568627450980392,0.4215686274509804,0.30392156862745096,0.4019607843137255,0.25980392156862747
verona,Verona,place,0.37254901960784315,0.16666666666666666,0.12745098039215685,0.12745098039215685,0.4411764705882353,0.09803921568627451,0.058823529411764705,0.6666666666666666,0.2573529411764706
luxeuil,Luxeuil,place,0.37254901960784315,0.16666666666666666,0.12745098039215685,0.12745098039215685,0.4411764705882353,0.2549019607843137,0.13725490196078433,0.4019607843137255,0.2536764705882353
